10
Td-83380/100000,d-489831/100000
Td325207/100000,d-201360/100000
Td-131588/100000,d-306339/100000
Td66008/100000,d-338313/100000
Td-375733/100000,d-67064/100000
Td62079/100000,d-325657/100000
Td53221/100000,d-145099/100000
Td458065/100000,d-408706/100000
Td478640/100000,d-87881/100000
Td3935/100000,d-351854/100000
10
Pd218967/100000,d-310029/100000
Pd-158440/100000,d-476479/100000
Pd-160482/100000,d467483/100000
Pd478799/100000,d244530/100000
Pd-496546/100000,d440239/100000
Pd218967/100000,d270835/100000
Pd-321127/100000,d-400501/100000
Pd-85468/100000,d385537/100000
Pd78086/100000,d236582/100000
Pd-267379/100000,d23598/100000
